"#","t",51,98,147,300,600
1,0,1,0.3,0.4,0.4,0.3
2,20,2.6,0.8,1,11.9,16.4
3,40,6.6,5.2,6.4,31.4,54.7
4,60,11.7,12.2,14.5,46.6,73.4
5,80,17,20.2,24,58,86.4
6,100,22.7,27.4,32.2,67.8,92.2
7,120,29.6,33.2,40.7,75.9,95
8,140,35.4,40.7,49.1,81.2,96.5
9,160,40.7,46.9,55.8,85.5,97.3
10,180,45.9,53.1,61.5,88.6,97.8
11,200,50.7,58,66.5,90.9,98
12,220,55,62.7,70.4,92.6,98.2
13,240,58.8,66.4,74.7,94,98.3
14,260,62.2,70.2,77.7,95,98.4
15,280,65.5,73.2,80.2,95.7,98.5
16,300,67.9,75.7,81.5,96,98.6
17,320,71.2,77.8,83.1,96.5,98.6
18,340,73.3,80,84.7,96.7,98.6
19,360,75.3,81.8,87.2,97,nan
20,380,77.3,83.5,89.2,97.1,nan
21,400,78.7,84.8,90.2,97.2,nan
22,420,80.3,86.2,91.3,97.3,nan
23,440,82,87.2,91.9,97.2,nan
24,460,83.2,88.3,92.5,nan,nan
25,480,84.3,89.1,93.2,nan,nan
26,500,85,89.7,93.5,nan,nan
27,520,85.9,90.5,93.7,nan,nan
28,540,86.8,91,93.7,nan,nan
29,560,87.5,91.5,94,nan,nan
30,580,88,92,94,nan,nan
31,600,88.5,92.3,94.2,nan,nan
32,620,89.2,92.6,94.5,nan,nan
33,640,89.7,92.7,94.5,nan,nan
34,660,90,93,nan,nan,nan
35,680,90.4,93.3,nan,nan,nan
36,700,90.8,93.7,nan,nan,nan
37,720,91,93.8,nan,nan,nan
38,740,91.4,93.7,nan,nan,nan
39,760,91.5,93.8,nan,nan,nan
40,780,91.6,nan,nan,nan,nan
41,800,91.9,nan,nan,nan,nan
42,820,92,nan,nan,nan,nan
43,840,92.2,nan,nan,nan,nan
44,860,92.4,nan,nan,nan,nan
45,880,92.5,nan,nan,nan,nan
46,900,92.5,nan,nan,nan,nan
47,920,92.6,nan,nan,nan,nan
48,940,92.8,nan,nan,nan,nan
49,960,92.8,nan,nan,nan,nan
50,980,92.8,nan,nan,nan,nan
